a52dec 0.7.4-9
python-gobject 3.22.0-2
python-greenlet 0.4.12-1
python-imagesize 0.7.1-2
python-iso8601 0.1.11-2
python-jinja 2.9.5-1
python-jsonpatch 1.15-1
python-jsonpointer 1.10-2
python-jsonschema 2.6.0-1
python-keystoneauth1 2.18.0-1
python-keystoneclient 3.10.0-1
python-mako 1.0.6-2
python-markupsafe 0.23-4
python-mechanicalsoup 0.6.0-1
python-msgpack 0.4.8-2
python-multidict 2.1.4-1
python-neovim 0.1.13-1
python-netaddr 0.7.19-1
python-netifaces 0.10.5-2
python-nose 1.3.7-3
python-notify2 0.3-2
python-novaclient 7.1.0-1
python-olefile 0.43-2
python-oslo-config 3.22.0-1
python-oslo-i18n 3.12.0-1
python-oslo-serialization 2.16.0-1
python-oslo-utils 3.22.0-1
python-packaging 16.8-2
python-pbr 2.0.0-1
python-pexpect 4.2.1-2
python-pillow 4.0.0-2
python-pip 9.0.1-2
python-positional 1.1.1-2
python-prettytable 0.7.2-8
python-protobuf 3.2.0-1
python-ptyprocess 0.5.1-2
python-purplex 0.2.4-3
python-pyfiglet 0.7.4-1
python-pygments 2.2.0-1
python-pyparsing 2.1.10-2
python-pyqt4 4.12-4
python-pyqt5 5.8-1
python-pytz 2016.10-2
python-readlike 0.1.2-1
python-reparser 1.4.3-1
python-reportlab 3.3.0-2
python-requests 2.13.0-1
python-rfc3986 0.4.1-2
python-robobrowser 0.5.3-1
python-setuptools 1:34.3.1-1
python-sip 4.19.1-1
python-six 1.10.0-3
python-snowballstemmer 1.2.1-2
python-sphinx 1.5.3-1
python-sphinx-alabaster-theme 0.7.10-1
python-sphinx_rtd_theme 0.2.2-1
python-stevedore 1.20.0-1
python-texttable 0.8.7-2
python-urllib3 1.20-1
python-urwid 1.3.1-3
python-virtualenv 15.1.0-1
python-warlock 1.3.0-2
python-websocket-client 0.40.0-2
python-werkzeug 0.11.15-1
python-wrapt 1.10.8-2
python-xdg 0.25-4
python-yaml 3.12-2
python-yarl 0.9.8-1
python2 2.7.13-1
python2-appdirs 1.4.2-1
python2-argcomplete 1.6.0-1
python2-cairo 1.10.0-2
python2-cffi 1.9.1-2
python2-click 6.7-1
python2-cryptography 1.7.2-1
python2-dbus 1.2.4-2
python2-docutils 0.13.1-2
python2-enum34 1.1.6-1
python2-futures 3.0.5-1
python2-gconf 2.28.1-10
python2-gdata 2.0.18-1
python2-gobject2 2.28.6-13
python2-greenlet 0.4.12-1
python2-httplib2 0.10.3-1
python2-idna 2.4-1
python2-ipaddress 1.0.18-1
python2-keybinder2 0.3.1-1
python2-msgpack 0.4.8-2
python2-neovim 0.1.13-1
python2-oauth2client 4.0.0-3
python2-packaging 16.8-2
python2-pexpect 4.2.1-2
python2-pip 9.0.1-2
python2-ply 3.10-1
python2-powerline 2.5.2-1
python2-ptyprocess 0.5.1-2
python2-pyasn1 0.2.3-1
python2-pyasn1-modules 0.0.8-2
python2-pycparser 2.17-2
